timestamp,open,high,low,close,volume
2026-01-26,465.305,474.25,462,470.28,29253912
2026-01-27,473.7,482.87,473.16,480.58,29159479
2026-01-28,483.21,483.74,478,481.63,36183640
2026-01-29,439.99,442.46,421.02,433.5,128544634
2026-01-30,439.17,439.6,426.45,430.29,58432748
2026-02-02,430.235,430.736,422.25,423.37,42099038
2026-02-03,422.01,422.05,408.56,411.21,61190698
2026-02-04,411,419.8,409.24,414.19,44874416
2026-02-05,407.44,408.3,392.32,393.67,65942664
2026-02-06,399.165,401.79,392.92,401.14,53423364
2026-02-09,404.85,414.89,400.87,413.6,45456833
