Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-February-2026,344.00,351.55,309.00,326.05,335.929069086459855047,2296615,32416,771499739.00,645092,28.09,42.55,-17.95
30-January-2026,338.85,344.55,331.80,343.25,338.370796359670439608,1197474,16163,405190231.00,562366,46.96,12.75,4.40
29-January-2026,349.95,352.50,331.25,341.50,340.653520279651042078,1353401,19464,461040815.00,486027,35.91,21.25,-8.45
28-January-2026,327.90,344.10,326.55,342.45,334.530893137642263103,1245228,15535,416567235.00,560541,45.02,17.55,14.55
27-January-2026,326.50,328.45,321.05,323.90,324.794870431014901942,695614,11321,225931859.00,232325,33.40,7.40,-2.60
23-January-2026,331.00,334.70,323.50,325.35,329.605951231921468279,668265,11126,220264121.00,255788,38.28,11.20,-5.65
22-January-2026,321.30,330.70,319.40,329.20,323.884987626177053489,389532,6370,126163567.00,152595,39.17,11.30,7.90
21-January-2026,317.25,323.95,313.95,316.60,318.138820740498536271,978665,14842,311351329.00,427078,43.64,10.00,-0.65
20-January-2026,331.40,331.50,319.20,320.40,323.752211900343782538,1031466,16270,333939399.00,421558,40.87,12.30,-11.00
19-January-2026,332.10,337.55,330.00,331.40,332.674129994535864671,616749,10083,205176437.00,298239,48.36,7.55,-0.70
16-January-2026,340.05,345.30,333.45,335.30,338.861161006840822407,636327,9282,215626506.00,265788,41.77,11.85,-4.75
14-January-2026,329.65,341.60,328.15,338.35,336.019367455362336503,541527,6929,181963560.00,197818,36.53,13.45,8.70
13-January-2026,336.30,337.75,325.05,330.10,330.675317840373900266,556726,10021,184095547.00,197232,35.43,12.70,-6.20
12-January-2026,332.60,333.70,323.20,331.90,328.170452294192675233,898486,14777,294856557.00,328554,36.57,10.50,-0.70
9-January-2026,343.10,350.45,330.40,332.40,339.366488535152548796,1055400,17328,358167392.00,410438,38.89,20.05,-10.70
8-January-2026,357.40,360.80,341.00,342.55,348.870781909976879201,824366,15454,287597211.00,388117,47.08,19.80,-14.85
7-January-2026,359.00,365.80,356.20,357.40,360.019039158601337785,588734,9423,211955449.00,252436,42.88,9.60,-1.60
6-January-2026,361.25,367.55,354.30,358.70,359.337771933050168745,320897,5925,115310413.00,152148,47.41,13.25,-2.55
5-January-2026,365.20,373.00,358.40,360.95,363.241145287977638365,670434,12918,243529214.00,366883,54.72,14.60,-4.25
2-January-2026,364.30,368.20,360.90,365.85,364.922465692850548406,669394,12043,244276909.00,402250,60.09,7.30,1.55
1-January-2026,358.80,365.55,355.35,361.60,360.214507877574091661,697042,10501,251084641.00,305379,43.81,10.20,2.80
31-December-2025,360.05,366.00,356.20,357.35,360.647862442392908684,609083,11526,219664482.00,280317,46.02,9.80,-2.70
30-December-2025,370.90,373.00,358.35,360.10,365.663671113329726675,1578562,24893,577222776.00,684851,43.38,14.65,-10.80
29-December-2025,393.55,400.90,366.15,367.60,381.557246798624737078,4021631,48700,1534482452.00,1678489,41.74,34.75,-25.95
26-December-2025,345.75,392.15,345.75,387.95,381.048847459483431916,9258373,88002,3527892361.00,3969463,42.87,46.40,42.20
24-December-2025,343.15,349.50,338.15,345.70,345.066883487190266821,1027578,16035,354583138.00,445812,43.38,11.35,2.55
23-December-2025,333.85,349.50,332.60,342.00,342.479951294527879442,2139390,25616,732698183.00,950249,44.42,16.90,8.15
22-December-2025,320.00,335.50,319.00,332.60,330.998083986251864428,678492,8490,224579552.00,267387,39.41,16.50,12.60
19-December-2025,308.30,320.80,306.45,319.10,314.466595161682266484,238678,4662,75056258.00,133467,55.92,14.35,10.80
18-December-2025,306.50,307.20,303.10,305.70,305.220017821767595313,271578,6453,82891042.00,134889,49.67,4.10,-0.80
17-December-2025,309.45,310.90,306.05,307.35,308.020869395880214644,277296,5860,85412955.00,146517,52.84,4.85,-2.10
16-December-2025,311.80,312.40,308.00,309.70,310.316356676567289823,251836,5539,78148830.00,148566,58.99,4.40,-2.10
15-December-2025,311.55,314.30,311.55,313.25,312.932359844629541158,240715,4970,75327513.00,131748,54.73,2.75,1.70
12-December-2025,313.05,315.35,311.25,313.95,312.998144038336901231,101834,2038,31873853.00,48296,47.43,4.10,0.90
11-December-2025,308.85,315.90,307.10,311.85,311.867277696561367825,393325,6219,122665197.00,191309,48.64,8.80,3.00
10-December-2025,311.65,315.00,307.50,308.90,310.996920644710154054,230243,5827,71604864.00,122737,53.31,7.50,-2.75
9-December-2025,303.15,313.65,301.00,312.85,307.226698508809868557,531790,9564,163380086.00,271187,51.00,12.65,9.70
8-December-2025,310.15,311.70,301.55,307.15,306.112555471309964320,528877,12589,161895890.00,269463,50.95,10.15,-3.00
5-December-2025,311.90,312.55,307.90,310.90,309.952343278889616179,388046,7350,120275767.00,162141,41.78,4.65,-1.00
4-December-2025,312.40,316.45,310.60,312.55,313.451549203881338756,288148,6058,90320437.00,114824,39.85,5.85,0.15
3-December-2025,316.90,318.85,311.10,311.70,313.787175945052675067,154912,3395,48609399.00,84381,54.47,7.75,-5.20
2-December-2025,320.35,320.35,316.50,317.85,318.350657489664878177,90952,2019,28954629.00,45232,49.73,3.85,-2.50
1-December-2025,324.00,327.75,320.75,321.40,324.053347341011775473,155153,2940,50277849.00,50318,32.43,7.00,-2.60
28-November-2025,323.30,324.60,321.50,324.00,322.857681634905790546,130454,1993,42118076.00,56984,43.68,3.10,0.70
27-November-2025,327.00,329.75,321.50,324.30,325.263981157392399765,487406,8260,158535616.00,235198,48.26,8.25,-2.70
26-November-2025,320.00,324.85,317.90,323.90,322.234162675699879297,231147,3774,74483460.00,89615,38.77,6.95,3.90
25-November-2025,324.00,325.90,315.25,322.85,319.977332783045414833,559707,10131,179093553.00,233259,41.68,10.65,-1.15
24-November-2025,316.35,330.00,312.50,325.80,320.323855096075928527,935406,14834,299632856.00,481853,51.51,17.50,9.45
21-November-2025,319.10,319.15,313.60,314.05,315.268209571974836560,324280,7946,102235175.00,173706,53.57,5.55,-5.05
20-November-2025,320.15,324.00,318.20,319.10,321.660422663764656322,284860,5190,91628188.00,146944,51.58,5.80,-1.05
19-November-2025,320.50,321.90,316.40,320.30,318.741472317689743231,135881,2655,43310910.00,59025,43.44,5.50,-0.20
18-November-2025,327.65,327.65,320.50,321.15,322.738423385721814067,322590,6285,104112188.00,169926,52.68,7.15,-6.50
17-November-2025,321.65,335.75,321.50,327.00,330.441635076752190843,619396,6785,204674227.00,218522,35.28,14.25,5.35
14-November-2025,314.30,325.15,314.30,320.95,319.781498085693373120,284176,3651,90874227.00,105513,37.13,10.85,6.65
13-November-2025,316.90,320.95,313.85,314.20,316.830260083012637918,172022,2792,54501775.00,78850,45.84,7.10,-2.70
12-November-2025,314.75,320.35,307.75,316.30,314.869117717056835585,357153,5391,112456450.00,151329,42.37,12.60,1.55
11-November-2025,316.20,320.25,315.10,317.70,317.110338420488334472,370279,6912,117419299.00,193224,52.18,5.15,1.50
10-November-2025,318.30,320.85,315.55,315.95,317.807500715117942134,286666,7141,91104605.00,150553,52.52,5.30,-2.35
7-November-2025,318.85,319.85,314.20,318.05,317.423188754778316226,166115,3127,52728753.00,70459,42.42,5.65,-0.80
6-November-2025,322.85,327.65,317.15,317.70,320.812183616217656369,191421,3956,61410189.00,93135,48.65,10.50,-5.15
4-November-2025,329.30,330.35,324.40,325.75,326.985896299001069351,306728,7945,100295730.00,173420,56.54,5.95,-3.55
3-November-2025,327.30,331.60,327.30,328.85,329.605407893425272798,341094,6891,112426427.00,169777,49.77,4.30,1.55
31-October-2025,330.60,332.60,328.30,328.85,330.059874739039665970,95800,2170,31619736.00,50391,52.60,4.30,-1.75
30-October-2025,332.25,337.40,330.40,331.40,332.896315906233823855,338075,7013,112543922.00,167615,49.58,7.00,-0.85
29-October-2025,329.00,334.00,327.30,332.95,331.108306780703225445,178890,2922,59231965.00,87798,49.08,6.70,3.95
