timestamp,open,high,low,close,volume
2026-01-26,690.49,694.13,689.92,692.73,60459088
2026-01-27,694.18,696.53,693.57,695.49,55487877
2026-01-28,697.05,697.84,693.94,695.42,61275159
2026-01-29,696.39,697.06,684.83,694.04,97443745
2026-01-30,691.79,694.21,687.12,691.97,101969620
2026-02-02,689.58,696.93,69.005,695.41,78941457
2026-02-03,696.21,696.96,684.03,689.53,107891421
2026-02-04,690.35,691.45,681.76,686.19,105184076
2026-02-05,680.94,683.69,675.79,677.62,114849474
2026-02-06,681.46,692.31,680.85,690.62,89124163
2026-02-09,689.42,695.87,688.34,693.95,73840028
