Trade Date,STrike,Expiry Date,Call/Put,Last Trade Price,Bid Price,Ask Price,Bid Implied Volatility,Ask Implied Volatility,Open Interest,Volume,Delta,Gamma,Vega,Theta,Rho
2023-07-03,50,2023-07-07,c,142.29,142.20,142.35,0,4.8375,0,0,1,0,0,-0.0085,0.0057
2023-07-03,60,2023-07-07,c,132.29,132.20,132.35,0,4.1518,0,0,1,0,0,-0.0102,0.0068
2023-07-03,65,2023-07-07,c,127.30,127.20,127.35,0,3.8526,0,0,1,0,0,-0.0111,0.0074
2023-07-03,70,2023-07-07,c,122.30,122.15,122.40,0,3.854,0,0,1,0,0,-0.0119,0.0079
2023-07-03,75,2023-07-07,c,117.30,117.15,117.40,0,3.5903,0,0,1,0,0,-0.0128,0.0085
2023-07-03,80,2023-07-07,c,112.31,112.20,112.40,0,3.3442,0,0,1,0,0,-0.0136,0.0091
2023-07-03,85,2023-07-07,c,107.31,107.20,107.40,0,3.1135,0,0,1,0,0,-0.0145,0.0096
2023-07-03,90,2023-07-07,c,102.31,102.20,102.40,0,2.8964,1,0,1,0,0,-0.0154,0.0102
2023-07-03,95,2023-07-07,c,97.32,97.20,97.40,0,2.6914,0,0,1,0,0,-0.0162,0.0108
2023-07-03,100,2023-07-07,c,92.32,92.20,92.45,0,2.6475,0,0,1,0,0,-0.0171,0.0113
2023-07-03,105,2023-07-07,c,87.32,87.20,87.40,0,2.3126,0,0,1,0,0,-0.0179,0.0119
2023-07-03,110,2023-07-07,c,82.33,82.20,82.45,0,2.2779,5,0,1,0,0,-0.0188,0.0125
2023-07-03,115,2023-07-07,c,77.33,77.20,77.45,0,2.1061,6,0,1,0,0,-0.0196,0.013
2023-07-03,120,2023-07-07,c,72.33,72.20,72.45,0,1.9401,8,1,1,0,0,-0.0205,0.0136
2023-07-03,125,2023-07-07,c,67.34,67.20,67.45,0,1.7804,15,0,1,0,0,-0.0213,0.0142
2023-07-03,130,2023-07-07,c,62.34,62.20,62.45,0,1.6271,1,0,1,0,0,-0.0222,0.0147
2023-07-03,135,2023-07-07,c,57.35,57.25,57.45,0,1.4796,36,1,1,0,0,-0.023,0.0153
2023-07-03,140,2023-07-07,c,52.35,52.25,52.45,0,1.3377,61,2,1,0,0,-0.0239,0.0158
2023-07-03,145,2023-07-07,c,47.35,47.25,47.45,0,1.2008,112,115,1,0,0,-0.0247,0.0164
2023-07-03,148,2023-07-07,c,44.35,44.25,44.45,0,1.1203,41,0,1,0,0,-0.0252,0.0168
2023-07-03,149,2023-07-07,c,43.36,43.25,43.45,0,1.0935,0,4,1,0,0,-0.0254,0.0169
