Trade Date,STrike,Expiry Date,Call/Put,Last Trade Price,Bid Price,Ask Price,Bid Implied Volatility,Ask Implied Volatility,Open Interest,Volume,Delta,Gamma,Vega,Theta,Rho
2023-07-03,20,2023-07-07,c,266.31,266.15,266.40,0,9.6047,0,0,1,0,0,-0.0037,0.0023
2023-07-03,30,2023-07-07,c,256.31,256.15,256.40,0,8.006,0,0,1,0,0,-0.0055,0.0034
2023-07-03,40,2023-07-07,c,246.32,246.15,246.45,0,7.2633,0,0,1,0,0,-0.0073,0.0045
2023-07-03,50,2023-07-07,c,236.33,235.95,236.60,0,7.0255,0,0,1,0,0,-0.0091,0.0057
2023-07-03,60,2023-07-07,c,226.34,226.10,226.60,0,6.2752,0,0,1,0,0,-0.011,0.0068
2023-07-03,70,2023-07-07,c,216.34,216.05,216.70,0,5.8967,0,0,1,0,0,-0.0128,0.0079
2023-07-03,80,2023-07-07,c,206.35,206.15,206.55,0,4.98,0,0,1,0,0,-0.0146,0.0091
2023-07-03,90,2023-07-07,c,196.36,196.05,196.60,0,4.6402,0,0,1,0,0,-0.0164,0.0102
2023-07-03,100,2023-07-07,c,186.37,186.10,186.60,0,4.2215,16,0,1,0,0,-0.0183,0.0113
2023-07-03,110,2023-07-07,c,176.37,176.05,176.70,0,4.0331,7,0,1,0,0,-0.0201,0.0125
2023-07-03,120,2023-07-07,c,166.38,166.15,166.70,0,3.6795,16,0,1,0,0,-0.0219,0.0136
2023-07-03,125,2023-07-07,c,161.38,161.10,161.75,0,3.5833,24,0,1,0,0,-0.0228,0.0141
2023-07-03,130,2023-07-07,c,156.39,156.20,156.75,0,3.4216,34,0,1,0,0,-0.0237,0.0147
2023-07-03,135,2023-07-07,c,151.39,151.15,151.75,0,3.2662,32,0,1,0,0,-0.0247,0.0153
2023-07-03,140,2023-07-07,c,146.40,146.10,146.75,0,3.1166,32,0,1,0,0,-0.0256,0.0158
2023-07-03,145,2023-07-07,c,141.40,141.20,141.65,0,2.8411,18,1,1,0,0,-0.0265,0.0164
2023-07-03,150,2023-07-07,c,136.40,136.15,136.60,0,2.6282,11,2,1,0,0,-0.0274,0.017
2023-07-03,155,2023-07-07,c,131.41,131.15,131.75,0,2.6991,4,0,1,0,0,-0.0283,0.0175
2023-07-03,160,2023-07-07,c,126.41,126.20,126.60,0,2.3767,21,0,1,0,0,-0.0292,0.0181
2023-07-03,165,2023-07-07,c,121.41,121.05,121.65,0,2.3272,236,4,1,0,0,-0.0301,0.0187
2023-07-03,170,2023-07-07,c,116.42,116.20,116.75,0,2.3214,35,0,1,0,0,-0.031,0.0192
2023-07-03,175,2023-07-07,c,111.42,111.05,111.65,0,2.0938,136,0,1,0,0,-0.032,0.0198
2023-07-03,180,2023-07-07,c,106.43,106.10,106.60,0,1.9161,9,0,1,0,0,-0.0329,0.0204
2023-07-03,185,2023-07-07,c,101.43,101.10,101.70,0,1.9243,3,2,1,0,0,-0.0338,0.0209
2023-07-03,190,2023-07-07,c,96.43,96.10,96.70,0,1.8164,94,0,1,0,0,-0.0347,0.0215
2023-07-03,195,2023-07-07,c,91.44,91.10,91.70,0,1.7115,16,0,1,0,0,-0.0356,0.0221
2023-07-03,200,2023-07-07,c,86.44,86.15,86.70,0,1.6092,24,0,1,0,0,-0.0365,0.0226
2023-07-03,205,2023-07-07,c,81.44,81.25,81.70,0,1.508,21,0,1,0,0,-0.0374,0.0232
2023-07-03,210,2023-07-07,c,76.45,76.25,76.65,0,1.3632,20,3,1,0,0,-0.0383,0.0238
2023-07-03,215,2023-07-07,c,71.45,71.15,71.75,0,1.3499,44,0,1,0,0,-0.0393,0.0243
2023-07-03,220,2023-07-07,c,66.46,66.15,66.70,0,1.2171,49,9,1,0,0,-0.0402,0.0249
2023-07-03,225,2023-07-07,c,61.46,61.10,61.75,0,1.1573,67,19,1,0,0,-0.0411,0.0255
2023-07-03,230,2023-07-07,c,56.46,56.25,56.65,0,0.9961,41,9,1,0,0,-0.042,0.026
2023-07-03,235,2023-07-07,c,51.47,51.10,51.80,0,1,38,1,1,0,0,-0.0429,0.0266
2023-07-03,240,2023-07-07,c,46.47,46.30,46.65,0,0.822,360,6,1,0,0,-0.0438,0.0272
2023-07-03,242.5,2023-07-07,c,43.97,43.75,44.20,0,0.81,0,0,1,0,0,-0.0443,0.0274
2023-07-03,245,2023-07-07,c,41.48,41.30,41.65,0,0.7366,393,11,1,0,0,-0.0447,0.0277
2023-07-03,247.5,2023-07-07,c,38.98,38.80,39.15,0,0.694,0,0,1,0,0,-0.0452,0.028
2023-07-03,250,2023-07-07,c,36.48,36.30,36.65,0,0.6518,424,11,1,0,0,-0.0458,0.0283
2023-07-03,252.5,2023-07-07,c,33.98,33.80,34.15,0,0.6101,63,3,0.9999,0,0.0001,-0.0466,0.0286
2023-07-03,255,2023-07-07,c,31.48,31.30,31.65,0,0.5688,267,6,0.9997,0.0001,0.0004,-0.0479,0.0289
2023-07-03,257.5,2023-07-07,c,28.99,28.80,29.20,0,0.5522,161,3,0.9992,0.0003,0.001,-0.0504,0.0291
2023-07-03,260,2023-07-07,c,26.49,26.35,26.65,0,0.486,575,17,0.9978,0.0007,0.0024,-0.0554,0.0294
2023-07-03,262.5,2023-07-07,c,24.00,23.95,24.10,0,0.4179,97,62,0.9949,0.0015,0.0042,-0.0652,0.0295
2023-07-03,265,2023-07-07,c,21.52,21.50,21.60,0.2773,0.3784,1193,35,0.9898,0.0028,0.0089,-0.08,0.0297
2023-07-03,267.5,2023-07-07,c,19.06,19.00,19.15,0.2416,0.3619,68,46,0.9804,0.0049,0.0138,-0.1034,0.0296
2023-07-03,270,2023-07-07,c,16.62,16.55,16.70,0.2701,0.3383,755,263,0.9658,0.008,0.0246,-0.1342,0.0294
2023-07-03,272.5,2023-07-07,c,14.20,14.15,14.25,0.2787,0.3093,683,17,0.9427,0.0125,0.0346,-0.175,0.029
2023-07-03,275,2023-07-07,c,11.85,11.80,11.90,0.2755,0.2964,2348,171,0.9096,0.0184,0.0473,-0.2214,0.0282
2023-07-03,277.5,2023-07-07,c,9.60,9.55,9.65,0.2712,0.2861,1601,121,0.8607,0.026,0.0674,-0.2739,0.0268
2023-07-03,280,2023-07-07,c,7.50,7.45,7.55,0.2665,0.2777,2280,321,0.7907,0.0348,0.0892,-0.3292,0.0248
2023-07-03,282.5,2023-07-07,c,5.65,5.60,5.70,0.2656,0.2749,944,495,0.6953,0.0433,0.1079,-0.3805,0.0219
