Trade Date,STrike,Expiry Date,Call/Put,Last Trade Price,Bid Price,Ask Price,Bid Implied Volatility,Ask Implied Volatility,Open Interest,Volume,Delta,Gamma,Vega,Theta,Rho
2023-07-03,20,2023-07-07,c,258.22,258.10,258.30,0,9.3018,12,0,1,0,0,-0.0033,0.0023
2023-07-03,30,2023-07-07,c,248.23,248.10,248.30,0,7.7449,0,0,1,0,0,-0.0049,0.0034
2023-07-03,40,2023-07-07,c,238.24,238.10,238.30,0,6.6548,0,0,1,0,0,-0.0066,0.0045
2023-07-03,50,2023-07-07,c,228.24,226.85,229.45,0,8.6633,49,0,1,0,0,-0.0082,0.0057
2023-07-03,60,2023-07-07,c,218.25,216.85,219.45,0,7.7419,0,0,1,0,0,-0.0099,0.0068
2023-07-03,70,2023-07-07,c,208.26,206.85,209.25,0,6.7605,3,0,1,0,0,-0.0115,0.0079
2023-07-03,80,2023-07-07,c,198.26,196.85,199.25,0,6.127,0,0,1,0,0,-0.0131,0.0091
2023-07-03,85,2023-07-07,c,193.27,191.90,194.25,0,5.8419,15,0,1,0,0,-0.014,0.0096
2023-07-03,90,2023-07-07,c,188.27,186.90,189.30,0,5.6234,296,0,1,0,0,-0.0148,0.0102
2023-07-03,95,2023-07-07,c,183.27,181.90,184.30,0,5.3672,3,0,1,0,0,-0.0156,0.0108
2023-07-03,100,2023-07-07,c,178.28,176.90,178.50,0,4.0994,34,18,1,0,0,-0.0164,0.0113
2023-07-03,105,2023-07-07,c,173.28,171.90,174.30,0,4.8955,13,3,1,0,0,-0.0172,0.0119
2023-07-03,110,2023-07-07,c,168.28,166.90,169.25,0,4.6389,11,0,1,0,0,-0.0181,0.0125
2023-07-03,115,2023-07-07,c,163.29,161.90,164.50,0,4.6177,36,32,1,0,0,-0.0189,0.013
2023-07-03,120,2023-07-07,c,158.29,156.90,159.50,0,4.4123,176,96,1,0,0,-0.0197,0.0136
2023-07-03,125,2023-07-07,c,153.29,151.90,153.55,0,3.3187,43,5,1,0,0,-0.0205,0.0142
2023-07-03,130,2023-07-07,c,148.30,146.90,148.55,0,3.1625,28,8,1,0,0,-0.0213,0.0147
2023-07-03,135,2023-07-07,c,143.30,141.90,143.55,0,3.0123,64,8,1,0,0,-0.0222,0.0153
2023-07-03,140,2023-07-07,c,138.31,136.90,139.55,0,3.7002,199,2,1,0,0,-0.023,0.0158
2023-07-03,145,2023-07-07,c,133.31,132.20,134.55,0,3.532,26,3,1,0,0,-0.0238,0.0164
2023-07-03,150,2023-07-07,c,128.31,128.00,129.55,0,3.3697,73,1,1,0,0,-0.0246,0.017
2023-07-03,155,2023-07-07,c,123.32,121.95,124.55,0,3.2131,40,6,1,0,0,-0.0255,0.0175
2023-07-03,160,2023-07-07,c,118.32,117.10,119.55,0,3.0616,226,8,1,0,0,-0.0263,0.0181
2023-07-03,165,2023-07-07,c,113.32,111.90,114.55,0,2.9129,582,22,1,0,0,-0.0271,0.0187
